Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,O-C,H-L,%CVol,Bid,Ask,Implied Volatility,Ask Implied Volatility,Bid Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Mid Price
11-Jan-2024,133.4,+13.6,+11.4%,113.4,113.4,113.4,80,20.0,0.0,"+1,042.9%",130.2,137.4,13.6,14.0,13.2,-0.5,-0.4,0.0,777,-6.4,9.4,133.8
10-Jan-2024,119.8,-3.6,-2.9%,,,,7,,,+75.0%,118.6,123.0,13.4,13.8,13.3,-0.5,-0.4,0.0,747,-6.1,9.3,120.8
09-Jan-2024,123.4,+3.0,+2.5%,124.3,124.3,124.3,4,0.9,0.0,-77.8%,121.5,124.3,13.6,13.8,13.5,-0.5,-0.4,0.0,754,-6.2,9.4,122.9
08-Jan-2024,120.4,-12.5,-9.4%,121.0,119.1,121.0,18,0.6,1.9,-82.0%,119.2,121.2,14.2,14.2,14.0,-0.5,-0.4,0.0,750,-6.0,9.4,120.2
05-Jan-2024,132.9,+3.6,+2.8%,,,,,,,,128.5,137.0,14.3,14.7,13.8,-0.5,-0.4,0.0,742,-6.5,9.5,132.8
04-Jan-2024,129.3,-18.0,-12.2%,128.9,128.9,128.9,100,0.4,0.0,+300.0%,127.6,131.0,14.4,14.7,14.3,-0.5,-0.4,0.0,742,-6.4,9.6,129.3
03-Jan-2024,147.3,+30.0,+25.6%,,,,,,,,146.0,148.4,14.9,14.9,14.7,-0.5,-0.4,0.0,642,-6.8,9.7,147.2
02-Jan-2024,117.3,+1.9,+1.6%,118.6,118.6,118.6,25,1.3,0.0,+733.3%,115.1,118.5,14.9,14.9,14.5,-0.4,-0.4,0.0,642,-6.0,9.5,116.8
29-Dec-2023,115.4,+1.3,+1.1%,107.0,107.0,107.0,3,8.4,0.0,+50.0%,112.3,119.3,14.9,15.1,14.4,-0.4,-0.4,0.0,617,-6.0,9.7,115.8
28-Dec-2023,114.1,+4.6,+4.2%,114.2,114.2,114.2,2,0.1,0.0,-33.3%,112.2,115.6,14.4,14.6,14.2,-0.4,-0.4,0.0,614,-6.2,9.7,113.9
27-Dec-2023,109.5,-7.6,-6.5%,,,,,,,,107.6,109.8,14.4,14.5,14.3,-0.4,-0.4,0.0,612,-6.0,9.7,108.7
22-Dec-2023,117.1,-0.2,-0.2%,120.9,120.9,120.9,3,3.8,0.0,+200.0%,116.3,118.2,14.8,14.9,14.7,-0.4,-0.4,0.0,612,-6.4,10.0,117.3
21-Dec-2023,117.3,+7.4,+6.7%,,,,,,,,116.0,119.2,14.9,15.0,14.7,-0.4,-0.4,0.0,612,-6.4,10.0,117.6
20-Dec-2023,109.9,+1.0,+0.9%,,,,,,,,108.7,110.7,14.4,14.6,14.4,-0.4,-0.4,0.0,612,-6.3,10.0,109.7
19-Dec-2023,108.9,-6.8,-5.9%,110.5,110.5,110.5,1,1.6,0.0,-99.5%,107.2,110.7,14.4,14.6,14.2,-0.4,-0.4,0.0,612,-6.3,10.0,109.0
18-Dec-2023,115.7,+11.4,+10.9%,116.0,116.0,116.0,210,0.3,0.0,"+20,900.0%",114.3,117.7,14.5,14.7,14.3,-0.4,-0.4,0.0,611,-6.5,10.1,116.0
15-Dec-2023,104.3,-2.7,-2.5%,95.8,95.8,95.8,1,8.5,0.0,-98.3%,103.6,105.4,14.3,14.6,14.4,-0.4,-0.4,0.0,411,-6.2,10.1,104.5
14-Dec-2023,107.0,-5.7,-5.1%,116.3,111.1,116.3,60,9.3,5.2,-25.0%,105.1,108.3,14.1,14.3,14.2,-0.4,-0.4,0.0,411,-6.4,10.2,106.7
13-Dec-2023,112.7,+3.4,+3.1%,105.7,105.7,106.4,80,7.0,0.7,-71.5%,110.8,114.2,14.3,14.5,14.2,-0.4,-0.4,0.0,369,-6.6,10.3,112.5
12-Dec-2023,109.3,+0.3,+0.3%,105.2,103.2,106.1,281,4.1,2.9,"+1,461.1%",107.8,111.2,14.2,14.4,14.1,-0.4,-0.4,0.0,389,-6.6,10.3,109.5
11-Dec-2023,109.0,-9.2,-7.8%,113.7,113.7,113.7,18,4.7,0.0,-94.1%,107.3,110.5,14.3,14.6,14.3,-0.4,-0.4,0.0,227,-6.6,10.3,108.9
08-Dec-2023,118.2,-21.7,-15.5%,118.2,118.2,118.2,307,0.0,0.0,"+30,600.0%",117.1,119.1,14.5,14.6,14.4,-0.4,-0.4,0.0,209,-7.0,10.5,118.1
07-Dec-2023,139.9,+6.9,+5.2%,,,,1,,,-50.0%,137.9,141.3,14.5,14.6,14.3,-0.4,-0.3,0.0,3,-7.9,10.7,139.6
06-Dec-2023,133.0,-15.5,-10.4%,,,,,,,,131.9,134.8,14.2,14.6,14.3,-0.4,-0.3,0.0,2,-7.7,10.7,133.4
05-Dec-2023,148.5,-16.8,-10.2%,,,,,,,,146.2,149.5,14.3,14.3,14.0,-0.5,-0.3,0.0,2,-8.3,10.8,147.9
04-Dec-2023,165.3,+1.9,+1.2%,,,,,,,,164.0,167.1,14.1,14.2,14.0,-0.5,-0.3,0.0,2,-9.0,11.0,165.6
01-Dec-2023,163.4,-17.7,-9.8%,,,,,,,,161.5,165.4,14.0,14.1,13.8,-0.5,-0.3,0.0,2,-9.1,11.1,163.5
30-Nov-2023,181.1,-7.8,-4.1%,,,,,,,,178.1,185.3,13.9,14.2,13.8,-0.5,-0.2,0.0,2,-9.8,10.4,181.7
29-Nov-2023,188.9,-13.4,-6.6%,,,,,,,,185.5,191.5,14.0,14.3,13.8,-0.6,-0.2,0.0,2,-10.1,10.5,188.5
28-Nov-2023,202.3,+5.4,+2.7%,,,,,,,,199.0,205.6,14.0,14.3,13.7,-0.6,-0.2,0.0,2,-10.5,10.6,202.3
27-Nov-2023,196.9,+9.8,+5.2%,,,,,,,,192.9,200.4,13.9,14.4,13.7,-0.6,-0.2,0.0,2,-10.5,10.7,196.7
24-Nov-2023,187.1,-6.1,-3.2%,,,,,,,,183.5,190.3,13.8,14.2,13.6,-0.5,-0.2,0.0,2,-10.3,10.7,186.9
23-Nov-2023,193.2,-3.4,-1.7%,,,,,,,,191.6,196.0,13.8,14.2,13.7,-0.6,-0.2,0.0,2,-10.6,10.8,193.8
22-Nov-2023,196.6,-13.6,-6.5%,,,,,,,,193.0,199.2,13.6,13.9,13.3,-0.6,-0.2,0.0,2,-10.8,10.9,196.1
21-Nov-2023,210.2,+6.6,+3.2%,,,,,,,,207.4,214.2,13.8,14.2,13.6,-0.6,-0.2,0.0,2,-11.2,11.0,210.8
20-Nov-2023,203.6,-4.8,-2.3%,,,,,,,,200.2,205.6,13.6,13.9,13.4,-0.6,-0.2,0.0,2,-11.2,11.0,202.9
17-Nov-2023,208.4,-25.1,-10.7%,,,,,,,,204.4,211.0,13.9,14.1,13.5,-0.6,-0.2,0.0,2,-11.3,11.1,207.7
16-Nov-2023,233.5,+9.4,+4.2%,,,,,,,,229.8,235.4,14.2,14.4,14.1,-0.6,-0.2,0.0,2,-12.1,11.2,232.6
15-Nov-2023,224.1,-11.7,-5.0%,,,,,,,,222.8,226.5,14.0,14.3,13.9,-0.6,-0.2,0.0,2,-11.9,11.2,224.7
14-Nov-2023,235.8,-47.1,-16.6%,,,,,,,,231.9,240.1,13.7,14.3,13.6,-0.6,-0.2,0.0,2,-12.5,11.4,236.0
13-Nov-2023,282.9,-25.9,-8.4%,,,,,,,,278.9,286.8,14.4,14.8,14.0,-0.7,-0.1,0.0,2,-13.4,9.9,282.9
10-Nov-2023,308.8,+21.7,+7.6%,,,,,,,,304.6,313.0,14.7,15.1,14.3,-0.7,-0.1,0.0,2,-14.1,10.0,308.8
09-Nov-2023,287.1,-36.4,-11.3%,,,,,,,,281.6,291.0,14.7,15.1,14.1,-0.7,-0.1,0.0,2,-13.7,10.0,286.3
08-Nov-2023,323.5,-18.9,-5.5%,,,,,,,,317.7,328.0,14.9,15.3,14.3,-0.7,-0.1,0.0,2,-14.5,10.1,322.9
07-Nov-2023,342.4,+4.6,+1.4%,,,,,,,,338.7,347.5,15.0,15.5,14.7,-0.7,-0.1,0.0,2,-15.0,10.2,343.1
06-Nov-2023,337.8,+11.1,+3.4%,,,,,,,,332.2,344.6,14.9,15.7,14.4,-0.7,-0.1,0.0,2,-15.0,10.2,338.4
03-Nov-2023,326.7,-10.3,-3.1%,,,,,,,,322.7,331.5,14.9,15.6,14.7,-0.7,-0.1,0.0,2,-14.9,10.3,327.1
02-Nov-2023,337.0,-61.7,-15.5%,,,,,,,,334.1,341.5,15.6,16.0,15.3,-0.7,-0.1,0.0,2,-14.9,10.2,337.8
01-Nov-2023,398.7,-30.7,-7.1%,,,,,,,,395.2,403.7,16.2,16.6,15.6,-0.7,-0.0,0.0,2,-16.0,8.1,399.5
31-Oct-2023,429.4,-27.2,-6.0%,,,,,,,,422.6,435.4,16.8,17.2,15.7,-0.8,-0.0,0.0,2,-16.4,8.2,429.0
30-Oct-2023,456.6,-5.6,-1.2%,,,,,,,,452.6,461.5,17.0,17.5,16.4,-0.8,-0.0,0.0,2,-16.8,8.2,457.1
27-Oct-2023,462.2,+22.3,+5.1%,,,,,,,,458.4,467.8,16.4,17.6,16.5,-0.8,0.0,0.0,2,-17.3,8.4,463.1
26-Oct-2023,439.9,+22.2,+5.3%,,,,,,,,435.9,447.6,17.0,17.9,16.5,-0.8,-0.0,0.0,2,-16.8,8.3,441.8
25-Oct-2023,417.7,-9.6,-2.2%,,,,,,,,413.0,424.5,16.6,17.5,16.1,-0.7,0.0,0.0,2,-16.7,8.3,418.8
24-Oct-2023,427.3,-18.4,-4.1%,,,,,,,,408.2,428.9,17.0,17.0,14.5,-0.7,-0.0,0.0,2,-16.8,8.3,418.6
23-Oct-2023,445.7,-12.7,-2.8%,,,,,,,,,,17.0,,,-0.8,-0.0,0.0,2,-17.1,8.3,
20-Oct-2023,458.4,+49.5,+12.1%,,,,,,,,427.6,446.7,17.0,16.0,13.7,-0.8,0.0,0.0,2,-17.6,8.4,437.2
19-Oct-2023,408.9,+15.0,+3.8%,,,,,,,,399.6,418.6,17.1,18.0,16.1,-0.7,-0.1,0.0,2,-16.8,10.6,409.1
18-Oct-2023,393.9,+36.1,+10.1%,,,,2,,,,384.6,403.2,16.7,17.7,16.0,-0.7,-0.1,0.0,2,-16.7,10.7,393.9
17-Oct-2023,357.8,-0.9,-0.3%,,,,,,,,350.5,365.0,16.2,16.7,15.4,-0.7,-0.1,0.0,0,-16.1,10.6,357.8
16-Oct-2023,358.7,-10.8,-2.9%,,,,,,,,350.0,368.4,16.1,17.0,15.3,-0.7,-0.1,0.0,0,-16.3,10.7,359.2
13-Oct-2023,369.5,+50.2,+15.7%,,,,,,,,361.7,378.3,16.3,17.1,15.6,-0.7,-0.1,0.0,0,-16.7,10.8,370.0
12-Oct-2023,319.3,+3.6,+1.1%,,,,,,,,311.9,329.9,15.6,16.6,14.9,-0.7,-0.1,0.0,0,-15.9,10.7,320.9
11-Oct-2023,315.7,-1.8,-0.6%,,,,,,,,307.6,325.2,15.4,16.5,14.9,-0.7,-0.1,0.0,0,-15.9,10.8,316.4
10-Oct-2023,317.5,-68.3,-17.7%,,,,,,,,310.4,328.0,15.8,16.8,15.2,-0.6,-0.1,0.0,0,-15.8,10.7,319.2
09-Oct-2023,385.8,+23.3,+6.4%,,,,,,,,380.8,399.9,16.2,17.4,15.7,-0.7,-0.1,0.0,0,-17.3,11.0,390.4
06-Oct-2023,362.5,-33.3,-8.4%,,,,,,,,352.2,373.5,16.1,17.1,15.1,-0.7,-0.1,0.0,0,-17.1,11.0,362.9
05-Oct-2023,395.8,-0.7,-0.2%,,,,,,,,385.5,407.3,16.3,17.5,15.5,-0.7,-0.1,0.0,0,-17.8,11.1,396.4
04-Oct-2023,396.5,-4.5,-1.1%,,,,,,,,386.2,407.9,16.4,17.5,15.5,-0.7,-0.1,0.0,0,-17.8,11.1,397.1
03-Oct-2023,401.0,+34.2,+9.3%,,,,,,,,392.0,411.8,16.1,,,-0.7,-0.1,0.0,0,-17.4,11.1,401.9
02-Oct-2023,366.8,+32.1,+9.6%,,,,,,,,356.2,375.5,16.1,16.9,15.2,-0.7,-0.1,0.0,0,-17.4,11.1,365.9
29-Sep-2023,334.7,-16.8,-4.8%,,,,,,,,326.2,343.9,15.4,16.6,15.0,-0.7,-0.1,0.0,0,-17.1,11.2,335.1
28-Sep-2023,351.5,-20.9,-5.6%,,,,,,,,343.6,359.2,16.1,16.7,15.3,-0.7,-0.1,0.0,0,-17.3,11.1,351.4
27-Sep-2023,372.4,-1.3,-0.3%,,,,,,,,364.8,380.4,16.2,16.9,15.5,-0.7,-0.1,0.0,0,-17.8,11.2,372.6
26-Sep-2023,373.7,+27.2,+7.8%,,,,,,,,363.7,383.9,16.1,16.9,15.1,-0.7,-0.1,0.0,0,-18.0,11.3,373.8
25-Sep-2023,346.5,+33.3,+10.6%,,,,,,,,336.1,355.9,16.0,16.7,14.9,-0.7,-0.1,0.0,0,-17.4,11.2,346.0
22-Sep-2023,313.2,+1.5,+0.5%,,,,,,,,302.9,322.5,15.4,16.3,14.6,-0.6,-0.1,0.0,0,-17.0,11.2,312.7
21-Sep-2023,311.7,+44.5,+16.7%,,,,,,,,301.2,323.7,15.6,16.5,14.6,-0.6,-0.1,0.0,0,-17.0,11.2,312.5
20-Sep-2023,267.2,-26.4,-9.0%,,,,,,,,258.6,276.9,14.8,15.6,14.2,-0.6,-0.1,0.0,0,-16.0,13.0,267.8
19-Sep-2023,293.6,+1.1,+0.4%,,,,,,,,281.3,305.2,15.4,16.2,14.4,-0.6,-0.2,0.0,0,-16.6,13.1,293.3
18-Sep-2023,292.5,+32.1,+12.3%,,,,,,,,280.6,304.5,15.2,16.0,14.2,-0.6,-0.2,0.0,0,-16.7,13.1,292.6
15-Sep-2023,260.4,-4.5,-1.7%,,,,,,,,250.1,268.7,15.0,15.7,14.2,-0.6,-0.2,0.0,0,-15.9,13.1,259.4
14-Sep-2023,264.9,-40.5,-13.3%,,,,,,,,,,14.7,,,-0.6,-0.1,0.0,0,-16.3,13.2,
13-Sep-2023,305.4,+8.7,+2.9%,,,,,,,,,,15.3,,,-0.6,-0.1,0.0,0,-17.4,13.4,
12-Sep-2023,296.7,+8.0,+2.8%,,,,,,,,,,15.4,,,-0.6,-0.2,0.0,0,-17.1,13.3,
11-Sep-2023,288.7,-11.1,-3.7%,,,,,,,,,,15.3,,,-0.6,-0.2,0.0,0,-16.9,13.3,
08-Sep-2023,299.8,-17.0,-5.4%,,,,,,,,,,15.4,,,-0.6,-0.2,0.0,0,-17.4,13.4,
07-Sep-2023,316.8,+14.2,+4.7%,,,,,,,,,,15.9,,,-0.6,-0.2,0.0,0,-17.7,13.4,
06-Sep-2023,302.6,+19.5,+6.9%,,,,,,,,,,15.6,,,-0.6,-0.2,0.0,0,-17.5,13.5,
05-Sep-2023,283.1,+2.0,+0.7%,,,,,,,,,,15.4,,,-0.6,-0.2,0.0,0,-17.0,13.4,
04-Sep-2023,281.1,+5.2,+1.9%,,,,,,,,,,15.8,,,-0.6,-0.2,0.0,0,-16.8,13.3,
01-Sep-2023,275.9,+10.5,+4.0%,,,,,,,,,,15.4,,,-0.6,-0.2,0.0,0,-16.9,13.5,
31-Aug-2023,265.4,+4.8,+1.8%,,,,,,,,,,15.3,,,-0.6,-0.2,0.0,0,-16.7,13.4,
30-Aug-2023,260.6,+3.4,+1.3%,,,,,,,,,,15.7,,,-0.5,-0.2,0.0,0,-16.3,13.4,
29-Aug-2023,257.2,-19.7,-7.1%,,,,,,,,,,15.9,,,-0.5,-0.2,0.0,0,-16.2,13.3,
28-Aug-2023,276.9,-38.3,-12.2%,,,,,,,,,,15.9,,,-0.5,-0.2,0.0,0,-16.9,13.5,
25-Aug-2023,315.2,-2.7,-0.8%,,,,,,,,,,16.3,,,-0.6,-0.2,0.0,0,-18.1,13.7,
24-Aug-2023,317.9,+21.5,+7.3%,,,,,,,,,,16.3,,,-0.6,-0.2,0.0,0,-18.3,13.7,
23-Aug-2023,296.4,-5.5,-1.8%,,,,,,,,,,16.2,,,-0.6,-0.2,0.0,0,-17.7,13.7,
22-Aug-2023,301.9,-23.5,-7.2%,,,,,,,,,,16.3,,,-0.6,-0.2,0.0,0,-17.9,13.7,
21-Aug-2023,325.4,-7.2,-2.2%,,,,,,,,,,16.6,,,-0.6,-0.2,0.0,0,-18.6,13.8,
18-Aug-2023,332.6,+6.5,+2.0%,,,,,,,,,,16.6,,,-0.6,-0.2,0.0,0,-19.0,13.9,
17-Aug-2023,326.1,+36.3,+12.5%,,,,,,,,,,16.7,,,-0.6,-0.2,0.0,0,-18.7,13.9,
16-Aug-2023,289.8,-1.3,-0.4%,,,,,,,,,,16.4,,,-0.5,-0.2,0.0,0,-17.7,13.8,
15-Aug-2023,291.1,+25.5,+9.6%,,,,,,,,,,16.6,,,-0.5,-0.2,0.0,0,-17.7,13.8,
14-Aug-2023,265.6,-5.7,-2.1%,,,,,,,,,,16.5,,,-0.5,-0.2,0.0,0,-16.9,13.7,
11-Aug-2023,271.3,+32.0,+13.4%,,,,,,,,,,16.4,,,-0.5,-0.2,0.0,0,-17.3,13.8,
10-Aug-2023,239.3,-37.5,-13.5%,,,,,,,,,,16.3,,,-0.5,-0.2,0.0,0,-16.1,14.8,
09-Aug-2023,276.8,-16.1,-5.5%,,,,,,,,,,16.6,,,-0.5,-0.2,0.0,0,-17.5,13.8,
08-Aug-2023,292.9,+29.7,+11.3%,,,,,,,,,,16.6,,,-0.5,-0.2,0.0,0,-18.1,13.9,
07-Aug-2023,263.2,-3.5,-1.3%,,,,,,,,,,16.4,,,-0.5,-0.2,0.0,0,-17.2,13.8,
04-Aug-2023,266.7,-23.4,-8.1%,,,,,,,,,,16.4,,,-0.5,-0.2,0.0,0,-17.5,13.9,
03-Aug-2023,290.1,+17.6,+6.5%,,,,,,,,,,17.0,,,-0.5,-0.2,0.0,0,-18.1,14.0,
02-Aug-2023,272.5,+44.0,+19.3%,,,,,,,,,,16.9,,,-0.5,-0.2,0.0,0,-17.5,15.1,
01-Aug-2023,228.5,+30.8,+15.6%,,,,,,,,,,16.1,,,-0.5,-0.2,0.0,0,-16.1,14.9,
31-Jul-2023,197.7,+3.1,+1.6%,,,,,,,,,,15.9,,,-0.4,-0.2,0.0,0,-14.8,14.7,
28-Jul-2023,194.6,-9.3,-4.6%,,,,,,,,,,15.6,,,-0.4,-0.2,0.0,0,-14.9,14.8,
27-Jul-2023,203.9,-46.6,-18.6%,,,,,,,,,,15.6,,,-0.4,-0.2,0.0,0,-15.4,14.9,
26-Jul-2023,250.5,+20.9,+9.1%,,,,,,,,,,15.7,,,-0.5,-0.2,0.0,0,-17.7,15.3,
25-Jul-2023,229.6,-2.5,-1.1%,,,,,,,,,,15.6,,,-0.5,-0.2,0.0,0,-16.7,15.2,
24-Jul-2023,232.1,+2.9,+1.3%,,,,,,,,199.3,271.5,15.5,18.1,13.4,-0.5,-0.2,0.0,0,-17.0,15.2,235.4
21-Jul-2023,229.2,-10.4,-4.3%,,,,,,,,,,15.5,,,-0.5,-0.2,0.0,0,-17.0,15.3,
20-Jul-2023,239.6,-5.6,-2.3%,,,,,,,,,,15.7,,,-0.5,-0.2,0.0,0,-17.4,15.4,
19-Jul-2023,245.2,+3.4,+1.4%,,,,,,,,,,15.7,,,-0.5,-0.2,0.0,0,-17.7,15.4,
18-Jul-2023,241.8,-6.2,-2.5%,,,,,,,,,,15.7,,,-0.5,-0.2,0.0,0,-17.6,15.4,
17-Jul-2023,248.0,+19.9,+8.7%,,,,,,,,,,15.7,,,-0.5,-0.2,0.0,0,-17.9,15.5,
14-Jul-2023,228.1,-2.9,-1.3%,,,,,,,,,,15.6,,,-0.5,-0.2,0.0,0,-17.1,15.4,
13-Jul-2023,231.0,-12.0,-4.9%,,,,,,,,,,15.6,,,-0.5,-0.2,0.0,0,-17.4,15.5,
12-Jul-2023,243.0,-40.9,-14.4%,,,,,,,,,,15.5,,,-0.5,-0.2,0.0,0,-18.1,15.6,
11-Jul-2023,283.9,-22.9,-7.5%,,,,,,,,,,15.6,,,-0.5,-0.1,0.0,0,-19.8,14.7,
10-Jul-2023,306.8,-11.4,-3.6%,,,,,,,,,,16.0,,,-0.6,-0.1,0.0,0,-20.5,14.8,
07-Jul-2023,318.2,-8.1,-2.5%,,,,,,,,,,15.9,,,-0.6,-0.1,0.0,0,-21.2,15.0,
06-Jul-2023,326.3,+68.2,+26.4%,,,,,,,,,,15.9,,,-0.6,-0.1,0.0,0,-21.6,15.1,
05-Jul-2023,258.1,+23.5,+10.0%,,,,,,,,,,15.9,,,-0.5,-0.2,0.0,0,-18.8,15.8,
04-Jul-2023,234.6,+4.6,+2.0%,,,,,,,,,,15.5,,,-0.5,-0.2,0.0,0,-18.0,15.7,
03-Jul-2023,230.0,-1.0,-0.4%,,,,,,,,,,15.5,,,-0.5,-0.2,0.0,0,-17.8,15.7,
30-Jun-2023,231.0,-25.7,-10.0%,,,,,,,,,,15.5,,,-0.5,-0.2,0.0,0,-17.9,15.8,
29-Jun-2023,256.7,-5.3,-2.0%,,,,,,,,,,15.9,,,-0.5,-0.2,0.0,0,-19.0,16.0,
28-Jun-2023,262.0,-26.2,-9.1%,,,,,,,,,,16.0,,,-0.5,-0.2,0.0,0,-19.3,16.0,
27-Jun-2023,288.2,-12.7,-4.2%,,,,,,,,,,16.3,,,-0.5,-0.1,0.0,0,-20.2,14.9,
26-Jun-2023,300.9,-5.2,-1.7%,,,,,,,,,,16.3,,,-0.5,-0.1,0.0,0,-20.8,15.0,
23-Jun-2023,306.1,+16.8,+5.8%,,,,,,,,,,16.3,,,-0.5,-0.1,0.0,0,-21.2,15.1,
22-Jun-2023,289.3,+8.7,+3.1%,,,,,,,,,,16.4,,,-0.5,-0.1,0.0,0,-20.5,15.0,
21-Jun-2023,280.6,+7.3,+2.7%,,,,,,,,,,16.3,,,-0.5,-0.1,0.0,0,-20.2,15.0,
20-Jun-2023,273.3,+8.4,+3.2%,,,,,,,,,,16.5,,,-0.5,-0.2,0.0,0,-19.8,16.2,
19-Jun-2023,264.9,+18.5,+7.5%,,,,,,,,,,16.3,,,-0.5,-0.2,0.0,0,-19.6,16.2,
16-Jun-2023,246.4,-14.2,-5.4%,,,,,,,,,,16.0,,,-0.5,-0.2,0.0,0,-19.0,16.2,
15-Jun-2023,260.6,+3.1,+1.2%,,,,,,,,,,16.2,,,-0.5,-0.2,0.0,0,-19.6,16.3,
14-Jun-2023,257.5,-12.1,-4.5%,,,,,,,,,,16.3,,,-0.5,-0.2,0.0,0,-19.4,16.2,
13-Jun-2023,269.6,-22.3,-7.6%,,,,,,,,,,16.2,,,-0.5,-0.2,0.0,0,-20.1,16.4,
12-Jun-2023,291.9,-18.2,-5.9%,,,,,,,,,,16.6,,,-0.5,-0.2,0.0,0,-20.9,15.2,
09-Jun-2023,310.1,+5.2,+1.7%,,,,,,,,,,16.8,,,-0.5,-0.1,0.0,0,-21.7,15.3,
08-Jun-2023,304.9,-2.6,-0.8%,,,,,,,,,,16.7,,,-0.5,-0.1,0.0,0,-21.7,15.4,
07-Jun-2023,307.5,-3.3,-1.1%,,,,,,,,,,16.7,,,-0.5,-0.1,0.0,0,-21.7,15.4,
06-Jun-2023,310.8,-4.2,-1.3%,,,,,,,,,,17.0,,,-0.5,-0.2,0.0,0,-21.7,15.4,
05-Jun-2023,315.0,+3.7,+1.2%,,,,,,,,,,17.3,,,-0.5,-0.2,0.0,0,-21.8,15.4,
02-Jun-2023,311.3,-30.6,-8.9%,,,,,,,,,,17.9,,,-0.5,-0.2,0.0,0,-21.4,16.6,
01-Jun-2023,341.9,-31.3,-8.4%,,,,,,,,,,17.6,,,-0.5,-0.2,0.0,0,-22.8,15.5,
31-May-2023,373.2,+47.7,+14.7%,,,,,,,,,,18.2,,,-0.5,-0.2,0.0,0,-23.6,15.6,
30-May-2023,325.5,+8.7,+2.7%,,,,,,,,,,17.6,,,-0.5,-0.2,0.0,0,-22.3,15.5,
29-May-2023,316.8,+8.0,+2.6%,,,,,,,,,,18.0,,,-0.5,-0.2,0.0,0,-21.5,16.7,
26-May-2023,308.8,-38.1,-11.0%,,,,,,,,,,18.0,,,-0.5,-0.2,0.0,0,-21.5,16.7,
25-May-2023,346.9,-3.1,-0.9%,,,,,,,,,,18.2,,,-0.5,-0.2,0.0,0,-23.0,15.6,
24-May-2023,350.0,+44.7,+14.6%,,,,,,,,,,18.2,,,-0.5,-0.2,0.0,0,-23.2,15.7,
